,end_time,lecture,lecture_name,lecture_no,sentence,start_time,sub_lecture,tokenized_sentence
72,00:05:46,2,TF Transformation,1.8,Now people have tried all these methods and they are indeed working better than,00:05:42,8,Now people tried methods indeed working better
73,00:05:52,2,TF Transformation,1.8,"the linear form of the transformation, but so far what works the best",00:05:46,8,linear form transformation far works best
74,00:05:56,2,TF Transformation,1.8,seems to be this special transformation called a BM25 transformation.,00:05:52,8,seems special transformation called BM25 transformation
75,00:05:59,2,TF Transformation,1.8,BM stands for best matching.,00:05:58,8,BM stands best matching
76,00:06:05,2,TF Transformation,1.8,"Now in this transformation, you can see there's a parameter k here.",00:06:01,8,Now transformation see parameter k
77,00:06:10,2,TF Transformation,1.8,And this k controls the upper bound of this function.,00:06:06,8,And k controls upper bound function
78,00:06:15,2,TF Transformation,1.8,It's easy to see this function has a upper bound because if you look at,00:06:10,8,It easy see function upper bound look
79,00:06:22,2,TF Transformation,1.8,"the x divided by x plus k where k is not an active number,",00:06:15,8,x divided x plus k k active number
80,00:06:28,2,TF Transformation,1.8,"then the numerator will never be able to exceed the denominator, right?",00:06:22,8,numerator never able exceed denominator right
81,00:06:29,2,TF Transformation,1.8,"So, it's upper bounded by k plus 1.",00:06:28,8,So upper bounded k plus 1
82,00:06:34,2,TF Transformation,1.8,"Now, this is also difference between this transformation function and",00:06:29,8,Now also difference transformation function
83,00:06:35,2,TF Transformation,1.8,the logarithm transformation.,00:06:34,8,logarithm transformation
84,00:06:39,2,TF Transformation,1.8,Which it doesn't have upperbound.,00:06:37,8,Which upperbound
85,00:06:44,2,TF Transformation,1.8,"Now furthermore, one interesting property of this function is that as we vary K,",00:06:39,8,Now furthermore one interesting property function vary K
86,00:06:50,2,TF Transformation,1.8,"we can actually simulate different transformation functions,",00:06:45,8,actually simulate different transformation functions
87,00:06:52,2,TF Transformation,1.8,including the two extremes that are shown here.,00:06:50,8,including two extremes shown
88,00:06:57,2,TF Transformation,1.8,"That is a zero one bit transformation, and the unit transformation.",00:06:52,8,That zero one bit transformation unit transformation
89,00:07:01,2,TF Transformation,1.8,"So for example, if we set k to zero, now you can see",00:06:57,8,So example set k zero see
90,00:07:05,2,TF Transformation,1.8,the function value would be one.,00:07:03,8,function value would one
91,00:07:13,2,TF Transformation,1.8,"So we precisely, recover the zero one bit transformation.",00:07:07,8,So precisely recover zero one bit transformation
92,00:07:19,2,TF Transformation,1.8,"If you set k to a very large number, on the other hand,",00:07:15,8,If set k large number hand
93,00:07:22,2,TF Transformation,1.8,"other hand, it's going to look more like the linear transformation function.",00:07:19,8,hand going look like linear transformation function
94,00:07:29,2,TF Transformation,1.8,"So in this sense, this transformation is very flexible,",00:07:24,8,So sense transformation flexible
95,00:07:34,2,TF Transformation,1.8,it allows us to control the shape of the transformation.,00:07:29,8,allows us control shape transformation
96,00:07:37,2,TF Transformation,1.8,It also has a nice property of the upper bound.,00:07:34,8,It also nice property upper bound
97,00:07:43,2,TF Transformation,1.8,And this upper bound is useful to control the inference of a particular term.,00:07:37,8,And upper bound useful control inference particular term
98,00:07:49,2,TF Transformation,1.8,"And so that we can prevent a, a spammer from just increasing the count of",00:07:43,8,And prevent spammer increasing count
99,00:07:54,2,TF Transformation,1.8,1 term to spam all queries that might match this term.,00:07:49,8,1 term spam queries might match term
100,00:08:02,2,TF Transformation,1.8,In other words this upper bound might also ensure that all terms,00:07:57,8,In words upper bound might also ensure terms
101,00:08:06,2,TF Transformation,1.8,"will be counted when we aggregate the, the weights, to compute a score.",00:08:02,8,counted aggregate weights compute score
102,00:08:10,2,TF Transformation,1.8,"As I said, this transformation function has worked well, so far.",00:08:06,8,As I said transformation function worked well far
103,00:08:14,2,TF Transformation,1.8,"So to summarise this lecture,",00:08:12,8,So summarise lecture
104,00:08:19,2,TF Transformation,1.8,the main point is that we need to do some sub linearity of TF Transformation.,00:08:14,8,main point need sub linearity TF Transformation
105,00:08:24,2,TF Transformation,1.8,And this is needed to capture the intuition of diminishing return from,00:08:19,8,And needed capture intuition diminishing return
106,00:08:25,2,TF Transformation,1.8,high Term Counts.,00:08:24,8,high Term Counts
107,00:08:31,2,TF Transformation,1.8,It's also to avoid a dominance by one single term over all others.,00:08:26,8,It also avoid dominance one single term others
108,00:08:37,2,TF Transformation,1.8,"This BM25 Transformation, Transformation that we talked about is very interesting.",00:08:31,8,This BM25 Transformation Transformation talked interesting
109,00:08:43,2,TF Transformation,1.8,It's so far one of the best performing TF Transforming formation formulas.,00:08:37,8,It far one best performing TF Transforming formation formulas
110,00:08:47,2,TF Transformation,1.8,"It has upper bound, and it's also robust and effective.",00:08:43,8,It upper bound also robust effective
111,00:08:52,2,TF Transformation,1.8,"Now, if we're plug in this function into our TF-IDF weighting",00:08:47,8,Now plug function TF IDF weighting
112,00:08:57,2,TF Transformation,1.8,vector space model then we would end up having the following,00:08:52,8,vector space model would end following
113,00:09:01,2,TF Transformation,1.8,"ranking function, which has a BM25 TF component.",00:08:57,8,ranking function BM25 TF component
114,00:09:06,2,TF Transformation,1.8,Now this is already very close to a state,00:09:01,8,Now already close state
115,00:09:11,2,TF Transformation,1.8,of the art ranking function called a BM25.,00:09:06,8,art ranking function called BM25
116,00:09:19,2,TF Transformation,1.8,And we will discuss how we can further improve this formula in the next lecture.,00:09:11,8,And discuss improve formula next lecture
117,00:00:05,4,Feedback in Text Retrieval,3.6,[SOUND] This lecture is about,00:00:00,8,SOUND This lecture
118,00:00:12,4,Feedback in Text Retrieval,3.6,the Feedback in Text Retrieval.,00:00:05,8,Feedback Text Retrieval
119,00:00:14,4,Feedback in Text Retrieval,3.6,"So, in this lecture,",00:00:12,8,So lecture
120,00:00:18,4,Feedback in Text Retrieval,3.6,we're going to continue the discussion on text retrieval methods.,00:00:14,8,going continue discussion text retrieval methods
121,00:00:24,4,Feedback in Text Retrieval,3.6,"In particular, we're going to talk about Feedback in Text Retrieval.",00:00:18,8,In particular going talk Feedback Text Retrieval
122,00:00:30,4,Feedback in Text Retrieval,3.6,This is a diagram that shows the retrieval process.,00:00:24,8,This diagram shows retrieval process
123,00:00:34,4,Feedback in Text Retrieval,3.6,We can see the user would typed in a query and,00:00:30,8,We see user would typed query
124,00:00:40,4,Feedback in Text Retrieval,3.6,then the query would be sent to a Retrieval Engine or,00:00:34,8,query would sent Retrieval Engine
125,00:00:45,4,Feedback in Text Retrieval,3.6,search engine and the engine would return results.,00:00:40,8,search engine engine would return results
126,00:00:49,4,Feedback in Text Retrieval,3.6,These results would be shown to the user.,00:00:45,8,These results would shown user
127,00:00:55,4,Feedback in Text Retrieval,3.6,"After the user has seen these results, the user can actually make judgments.",00:00:49,8,After user seen results user actually make judgments
128,00:00:58,4,Feedback in Text Retrieval,3.6,"So for example, the user has say, well, this is good and",00:00:55,8,So example user say well good
129,00:01:00,4,Feedback in Text Retrieval,3.6,this document is not very useful.,00:00:58,8,document useful
130,00:01:03,4,Feedback in Text Retrieval,3.6,"This is good again, et cetera.",00:01:00,8,This good et cetera
131,00:01:07,4,Feedback in Text Retrieval,3.6,"Now this is called a relevance judgment or Relevance Feedback, because we've",00:01:03,8,Now called relevance judgment Relevance Feedback
132,00:01:12,4,Feedback in Text Retrieval,3.6,got some feedback information from the user based on the judgments.,00:01:07,8,got feedback information user based judgments
133,00:01:14,4,Feedback in Text Retrieval,3.6,This can be very useful to the system.,00:01:12,8,This useful system
134,00:01:18,4,Feedback in Text Retrieval,3.6,Learn what exactly is interesting to the user.,00:01:14,8,Learn exactly interesting user
135,00:01:22,4,Feedback in Text Retrieval,3.6,So the feedback module would then take this as input and,00:01:18,8,So feedback module would take input
136,00:01:26,4,Feedback in Text Retrieval,3.6,also use the document collection to try to improve ranking.,00:01:22,8,also use document collection try improve ranking
137,00:01:30,4,Feedback in Text Retrieval,3.6,"Typically, it would involve updating the query.",00:01:26,8,Typically would involve updating query
138,00:01:34,4,Feedback in Text Retrieval,3.6,So the system can now rank the results more accurately for the user.,00:01:30,8,So system rank results accurately user
139,00:01:36,4,Feedback in Text Retrieval,3.6,So this is called Relevance Feedback.,00:01:34,8,So called Relevance Feedback
140,00:01:42,4,Feedback in Text Retrieval,3.6,The feedback is based on relevance judgements made by the users.,00:01:36,8,The feedback based relevance judgements made users
141,00:01:44,4,Feedback in Text Retrieval,3.6,"Now these judgements are reliable, but",00:01:42,8,Now judgements reliable
142,00:01:50,4,Feedback in Text Retrieval,3.6,"the users generally don't want to make extra effort, unless they have to.",00:01:44,8,users generally want make extra effort unless
143,00:01:57,4,Feedback in Text Retrieval,3.6,So the downside's that involves some extra effort by the user.,00:01:50,8,So downside involves extra effort user
144,00:02:00,4,Feedback in Text Retrieval,3.6,"There is another form of feedback called a Pseudo Relevance Feedback,",00:01:57,8,There another form feedback called Pseudo Relevance Feedback
145,00:02:03,4,Feedback in Text Retrieval,3.6,or a blind feedback also called an automatic feedback.,00:02:00,8,blind feedback also called automatic feedback
146,00:02:08,4,Feedback in Text Retrieval,3.6,"In this case, you can see once the user has got without an effect,",00:02:03,8,In case see user got without effect
147,00:02:11,4,Feedback in Text Retrieval,3.6,we don't have to involve users.,00:02:08,8,involve users
148,00:02:14,4,Feedback in Text Retrieval,3.6,So you can see there's no user involved here.,00:02:11,8,So see user involved
149,00:02:19,4,Feedback in Text Retrieval,3.6,And we simply assume that the top ranked documents to be relevant.,00:02:14,8,And simply assume top ranked documents relevant
150,00:02:24,4,Feedback in Text Retrieval,3.6,"Let's say, we have assumed the top ten is relevant.",00:02:19,8,Let say assumed top ten relevant
151,00:02:28,4,Feedback in Text Retrieval,3.6,And then we will then use these assumed,00:02:24,8,And use assumed
152,00:02:33,4,Feedback in Text Retrieval,3.6,documents to learn and to improve the query.,00:02:28,8,documents learn improve query
153,00:02:35,4,Feedback in Text Retrieval,3.6,"Now you might wonder, you know,",00:02:33,8,Now might wonder know
154,00:02:40,4,Feedback in Text Retrieval,3.6,how could this help if we simply assume the top rank documents would be random.,00:02:35,8,could help simply assume top rank documents would random
155,00:02:47,4,Feedback in Text Retrieval,3.6,Well you can imagine these top rank documents are actually similar to relevant,00:02:40,8,Well imagine top rank documents actually similar relevant
156,00:02:53,4,Feedback in Text Retrieval,3.6,"documents, even if they are not relevant, they look like relevant documents.",00:02:47,8,documents even relevant look like relevant documents
157,00:02:59,4,Feedback in Text Retrieval,3.6,"So, it's possible to learn some related terms to the query from this set.",00:02:53,8,So possible learn related terms query set
158,00:03:03,4,Feedback in Text Retrieval,3.6,"In fact, you may recall that we talked about using language model to",00:02:59,8,In fact may recall talked using language model
159,00:03:08,4,Feedback in Text Retrieval,3.6,analyze word association to learn related words to the word computer.,00:03:03,8,analyze word association learn related words word computer
160,00:03:09,4,Feedback in Text Retrieval,3.6,Right?,00:03:08,8,Right
161,00:03:11,4,Feedback in Text Retrieval,3.6,"And then what we did is first,",00:03:09,8,And first
162,00:03:15,4,Feedback in Text Retrieval,3.6,use computer to retrieve all the documents that contain computer.,00:03:11,8,use computer retrieve documents contain computer
163,00:03:18,4,Feedback in Text Retrieval,3.6,"So, imagine now the query here is a computer.",00:03:15,8,So imagine query computer
164,00:03:19,4,Feedback in Text Retrieval,3.6,Right?,00:03:18,8,Right
165,00:03:23,4,Feedback in Text Retrieval,3.6,And then the results will be those documents that contain computer.,00:03:19,8,And results documents contain computer
166,00:03:28,4,Feedback in Text Retrieval,3.6,And what we can do then is to take the top end results.,00:03:23,8,And take top end results
167,00:03:33,4,Feedback in Text Retrieval,3.6,They can match computer very well and we're going to count,00:03:28,8,They match computer well going count
168,00:03:38,4,Feedback in Text Retrieval,3.6,the terms in this set and then we're going to then use the background,00:03:33,8,terms set going use background
169,00:03:44,4,Feedback in Text Retrieval,3.6,"language model to choose the terms that are frequent the in this set,",00:03:38,8,language model choose terms frequent set
170,00:03:47,4,Feedback in Text Retrieval,3.6,but not frequent the in the whole collection.,00:03:44,8,frequent whole collection
171,00:03:52,4,Feedback in Text Retrieval,3.6,"So, if we make a contrast between these two, what we can find is that",00:03:47,8,So make contrast two find
172,00:03:58,4,Feedback in Text Retrieval,3.6,"we'll learn some related terms too, the work computer as what I've seen before.",00:03:52,8,learn related terms work computer I seen
173,00:04:04,4,Feedback in Text Retrieval,3.6,And these related words can then be added to the original query to expand the query.,00:03:58,8,And related words added original query expand query
174,00:04:08,4,Feedback in Text Retrieval,3.6,"And this would help us free documents that don't necessarily match computer,",00:04:04,8,And would help us free documents necessarily match computer
175,00:04:11,4,Feedback in Text Retrieval,3.6,but match other words like program and software.,00:04:08,8,match words like program software
176,00:04:18,4,Feedback in Text Retrieval,3.6,So this is factored for improving the search doubt.,00:04:11,8,So factored improving search doubt
177,00:04:21,4,Feedback in Text Retrieval,3.6,"But of course, pseudo relevancy feedback is completely unreliable.",00:04:18,8,But course pseudo relevancy feedback completely unreliable
178,00:04:23,4,Feedback in Text Retrieval,3.6,We have to arbitrarily set a cutoff.,00:04:21,8,We arbitrarily set cutoff
179,00:04:26,4,Feedback in Text Retrieval,3.6,So there is also something in between called Implicit Feedback.,00:04:23,8,So also something called Implicit Feedback
180,00:04:30,4,Feedback in Text Retrieval,3.6,"In this case, what we do, we do involve users, but",00:04:26,8,In case involve users
181,00:04:33,4,Feedback in Text Retrieval,3.6,we don't have to ask users to make judgements.,00:04:30,8,ask users make judgements
182,00:04:38,4,Feedback in Text Retrieval,3.6,"Instead, we are going to observe how the user interacts with the search results.",00:04:33,8,Instead going observe user interacts search results
183,00:04:41,4,Feedback in Text Retrieval,3.6,"So, in this case, we're going to look at the clickthroughs.",00:04:38,8,So case going look clickthroughs
184,00:04:45,4,Feedback in Text Retrieval,3.6,"So the user clicked on this one and the, the user viewed this one.",00:04:41,8,So user clicked one user viewed one
185,00:04:50,4,Feedback in Text Retrieval,3.6,And the user skipped this one and the user viewed this one again.,00:04:45,8,And user skipped one user viewed one
186,00:04:56,4,Feedback in Text Retrieval,3.6,Now this also is a clue about whether a document is useful to the user and,00:04:50,8,Now also clue whether document useful user
187,00:05:03,4,Feedback in Text Retrieval,3.6,we can even assume that we're going to use only the snippet here in this document.,00:04:56,8,even assume going use snippet document
188,00:05:06,4,Feedback in Text Retrieval,3.6,"The text that's actually seen by the user,",00:05:03,8,The text actually seen user
189,00:05:11,4,Feedback in Text Retrieval,3.6,instead of the actual document of this entry in the link.,00:05:06,8,instead actual document entry link
190,00:05:15,4,Feedback in Text Retrieval,3.6,"There that same web search may be broken, but that, it doesn't matter.",00:05:11,8,There web search may broken matter
191,00:05:20,4,Feedback in Text Retrieval,3.6,"If the user tries to fetch this document that because of the displayed text,",00:05:15,8,If user tries fetch document displayed text
192,00:05:26,4,Feedback in Text Retrieval,3.6,"we can assume this displayed text is probably relevant is interesting to user,",00:05:20,8,assume displayed text probably relevant interesting user
193,00:05:29,4,Feedback in Text Retrieval,3.6,so we can learn from such information.,00:05:26,8,learn information
194,00:05:32,4,Feedback in Text Retrieval,3.6,"And this is called Implicit Feedback and we can again,",00:05:29,8,And called Implicit Feedback
195,00:05:35,4,Feedback in Text Retrieval,3.6,use the information to update the query.,00:05:32,8,use information update query
196,00:05:39,4,Feedback in Text Retrieval,3.6,This is a very important technique used in modern search engines.,00:05:35,8,This important technique used modern search engines
197,00:05:45,4,Feedback in Text Retrieval,3.6,"You know, think about Google and Bing and they can collect a lot of user activities.",00:05:39,8,You know think Google Bing collect lot user activities
198,00:05:46,4,Feedback in Text Retrieval,3.6,Why they are serverless?,00:05:45,8,Why serverless
199,00:05:49,4,Feedback in Text Retrieval,3.6,Right. So they would observe what documents we,00:05:46,8,Right So would observe documents
200,00:05:51,4,Feedback in Text Retrieval,3.6,"click on, what documents we skip.",00:05:49,8,click documents skip
201,00:05:54,4,Feedback in Text Retrieval,3.6,And this information is very valuable and,00:05:51,8,And information valuable
202,00:05:58,4,Feedback in Text Retrieval,3.6,they can use this to encode the search engine.,00:05:54,8,use encode search engine
203,00:05:59,4,Feedback in Text Retrieval,3.6,"So to summarize,",00:05:58,8,So summarize
204,00:06:04,4,Feedback in Text Retrieval,3.6,we would talk about the three kinds of feedback here rather than feedback.,00:05:59,8,would talk three kinds feedback rather feedback
205,00:06:08,4,Feedback in Text Retrieval,3.6,"Where the use exquisite judgement, it takes some used effort, but",00:06:04,8,Where use exquisite judgement takes used effort
206,00:06:10,4,Feedback in Text Retrieval,3.6,the judgement that information is reliable.,00:06:08,8,judgement information reliable
207,00:06:16,4,Feedback in Text Retrieval,3.6,"We talked about the Pseudo Feedback, where we simply assumed top random documents.",00:06:10,8,We talked Pseudo Feedback simply assumed top random documents
208,00:06:18,4,Feedback in Text Retrieval,3.6,"We get random, we don't have to involve the user.",00:06:16,8,We get random involve user
209,00:06:22,4,Feedback in Text Retrieval,3.6,"Therefore, we could do that actually before we,",00:06:18,8,Therefore could actually
210,00:06:24,4,Feedback in Text Retrieval,3.6,we return the results to the user.,00:06:22,8,return results user
211,00:06:29,4,Feedback in Text Retrieval,3.6,"And the third is Implicit Feedback, where we use clickthroughs.",00:06:24,8,And third Implicit Feedback use clickthroughs
212,00:06:32,4,Feedback in Text Retrieval,3.6,"Where we don't, we involve users, but",00:06:29,8,Where involve users
213,00:06:36,4,Feedback in Text Retrieval,3.6,the user doesn't have to make explicit effort to make judgement.,00:06:32,8,user make explicit effort make judgement
214,00:00:05,4,Smoothing Methods Part - 1,3.5,[SOUND],00:00:00,6,SOUND
215,00:00:09,4,Smoothing Methods Part - 1,3.5,This lecture is about the specific,00:00:07,6,This lecture specific
216,00:00:14,4,Smoothing Methods Part - 1,3.5,smoothing methods for language models used in Probabilistic Retrieval Model.,00:00:09,6,smoothing methods language models used Probabilistic Retrieval Model
217,00:00:21,4,Smoothing Methods Part - 1,3.5,In this lecture we will continue the discussion of language models for,00:00:16,6,In lecture continue discussion language models
218,00:00:26,4,Smoothing Methods Part - 1,3.5,"information retrieval, particularly the query likelihood retrieval method.",00:00:21,6,information retrieval particularly query likelihood retrieval method
219,00:00:29,4,Smoothing Methods Part - 1,3.5,And we're going to talk about the specific smoothing methods used for,00:00:26,6,And going talk specific smoothing methods used
220,00:00:31,4,Smoothing Methods Part - 1,3.5,such a retrieval function.,00:00:29,6,retrieval function
221,00:00:37,4,Smoothing Methods Part - 1,3.5,"So, this is a slide from a previous lecture where we show that with",00:00:33,6,So slide previous lecture show
222,00:00:42,4,Smoothing Methods Part - 1,3.5,query likelihood ranking and the smoothing with the collection language model.,00:00:37,6,query likelihood ranking smoothing collection language model
223,00:00:48,4,Smoothing Methods Part - 1,3.5,We end up having a retrieval function that looks like the following.,00:00:42,6,We end retrieval function looks like following
224,00:00:53,4,Smoothing Methods Part - 1,3.5,"So, this is the retrieval function,",00:00:49,6,So retrieval function
225,00:00:57,4,Smoothing Methods Part - 1,3.5,based on these assumptions that we have discussed.,00:00:53,6,based assumptions discussed
226,00:01:00,4,Smoothing Methods Part - 1,3.5,You can see it's a sum of all the matched query terms here.,00:00:57,6,You see sum matched query terms
227,00:01:06,4,Smoothing Methods Part - 1,3.5,"And inside the sum it's a count of term in the query,",00:01:00,6,And inside sum count term query
228,00:01:11,4,Smoothing Methods Part - 1,3.5,and some weight for the term in the document.,00:01:06,6,weight term document
229,00:01:13,4,Smoothing Methods Part - 1,3.5,"We have TFI, TF weight here.",00:01:11,6,We TFI TF weight
230,00:01:18,4,Smoothing Methods Part - 1,3.5,"And then we have another constant here, in n.",00:01:13,6,And another constant n
231,00:01:25,4,Smoothing Methods Part - 1,3.5,"So clearly, if we want to implement this function using a programming language,",00:01:20,6,So clearly want implement function using programming language
